hpo_approach_id,run_id,iteration,config_original_idx,lr,num_layers,hidden_size,dropout_rate,weight_decay,device_used,processing_start_time_abs,processing_duration_s,test_accuracy,train_accuracy,fitness_score
DynamicPull_GPUmicrobatch,c6468262,5,10,2.757865e-03,2,352,0.0215,1.029052e-05,cpu,1747257557.369,26.527,0.7797,0.7796,0.7797
DynamicPull_GPUmicrobatch,c6468262,5,9,6.700749e-03,4,136,0.0811,3.935011e-05,cuda,1747257579.561,3.564,0.7628,0.7632,0.7628
DynamicPull_GPUmicrobatch,c6468262,5,0,4.685167e-03,3,304,0.1203,1.414509e-05,cpu,1747257557.345,29.305,0.7632,0.7718,0.7632
DynamicPull_GPUmicrobatch,c6468262,5,16,1.170838e-04,1,241,0.5266,1.130113e-04,cuda,1747257583.126,2.815,0.6820,0.6816,0.6820
DynamicPull_GPUmicrobatch,c6468262,5,4,2.757865e-03,2,334,0.0215,1.029052e-05,cpu,1747257557.403,31.679,0.7806,0.7750,0.7806
DynamicPull_GPUmicrobatch,c6468262,5,15,9.709881e-03,4,86,0.3518,6.046148e-07,cuda,1747257585.941,3.481,0.7336,0.7250,0.7336
DynamicPull_GPUmicrobatch,c6468262,5,17,1.974971e-04,2,79,0.5355,6.898385e-07,cuda,1747257589.423,2.668,0.6887,0.6834,0.6887
DynamicPull_GPUmicrobatch,c6468262,5,13,2.034651e-03,3,49,0.3112,9.468500e-06,cuda,1747257592.091,2.929,0.7343,0.7306,0.7343
DynamicPull_GPUmicrobatch,c6468262,5,2,4.685167e-03,1,312,0.1203,1.414509e-05,cpu,1747257582.513,12.846,0.7579,0.7548,0.7579
DynamicPull_GPUmicrobatch,c6468262,5,1,1.851553e-03,1,89,0.3486,1.857107e-06,cuda,1747257595.020,2.514,0.7401,0.7352,0.7401
DynamicPull_GPUmicrobatch,c6468262,5,5,1.760013e-03,2,81,0.1667,2.721133e-05,cpu,1747257587.700,12.952,0.7496,0.7414,0.7496
DynamicPull_GPUmicrobatch,c6468262,5,8,3.657541e-04,4,91,0.3761,1.037293e-04,cpu,1747257585.281,15.491,0.7221,0.7166,0.7221
DynamicPull_GPUmicrobatch,c6468262,5,7,1.938603e-04,1,77,0.0127,1.795492e-04,cpu,1747257595.361,5.556,0.6907,0.6906,0.6907
DynamicPull_GPUmicrobatch,c6468262,6,5,2.757865e-03,2,368,0.0215,1.129324e-05,cuda,1747257602.878,4.575,0.7752,0.7734,0.7752
DynamicPull_GPUmicrobatch,c6468262,6,12,2.757865e-03,2,334,0.0215,1.029052e-05,cuda,1747257607.457,2.986,0.7747,0.7726,0.7747
DynamicPull_GPUmicrobatch,c6468262,6,15,2.982129e-03,2,334,0.0215,1.129324e-05,cuda,1747257610.444,3.258,0.7770,0.7764,0.7770
DynamicPull_GPUmicrobatch,c6468262,6,16,2.757865e-03,2,334,0.0215,1.102386e-05,cuda,1747257613.702,3.071,0.7747,0.7744,0.7747
DynamicPull_GPUmicrobatch,c6468262,6,6,1.841749e-04,3,245,0.0043,2.497225e-04,cuda,1747257616.774,4.022,0.7400,0.7264,0.7400
DynamicPull_GPUmicrobatch,c6468262,6,11,4.685167e-03,2,312,0.1203,1.491431e-05,cuda,1747257620.796,3.339,0.7719,0.7612,0.7719
DynamicPull_GPUmicrobatch,c6468262,6,0,2.714522e-03,2,352,0.0215,1.029052e-05,cpu,1747257602.883,22.844,0.7640,0.7702,0.7640
DynamicPull_GPUmicrobatch,c6468262,6,2,2.806449e-03,2,334,0.0122,1.265557e-05,cpu,1747257602.963,24.729,0.7744,0.7692,0.7744
DynamicPull_GPUmicrobatch,c6468262,6,13,3.638298e-05,3,199,0.4279,1.549385e-07,cuda,1747257624.153,3.564,0.6496,0.6434,0.6496
DynamicPull_GPUmicrobatch,c6468262,6,9,2.757865e-03,2,334,0.0072,1.129324e-05,cpu,1747257602.976,26.004,0.7822,0.7866,0.7822
DynamicPull_GPUmicrobatch,c6468262,6,3,5.153237e-03,1,287,0.1749,8.103267e-07,cuda,1747257627.717,2.371,0.7569,0.7488,0.7569
DynamicPull_GPUmicrobatch,c6468262,6,7,5.694916e-05,3,102,0.2715,5.362369e-05,cuda,1747257628.692,3.186,0.6652,0.6646,0.6652
DynamicPull_GPUmicrobatch,c6468262,6,17,6.390001e-05,2,96,0.1123,6.014389e-06,cuda,1747257631.878,2.957,0.6619,0.6530,0.6619
DynamicPull_GPUmicrobatch,c6468262,6,14,6.423415e-05,4,45,0.0098,2.588474e-05,cuda,1747257634.836,4.071,0.6166,0.6162,0.6166
DynamicPull_GPUmicrobatch,c6468262,6,10,4.685167e-03,2,256,0.0000,1.682753e-05,cpu,1747257625.727,17.589,0.7736,0.7830,0.7736
DynamicPull_GPUmicrobatch,c6468262,6,4,1.741757e-04,4,35,0.1941,5.122960e-05,cuda,1747257638.907,3.253,0.6818,0.6750,0.6818
DynamicPull_GPUmicrobatch,c6468262,6,8,4.685167e-03,1,256,0.0000,1.414509e-05,cpu,1747257627.586,16.563,0.7608,0.7632,0.7608
DynamicPull_GPUmicrobatch,c6468262,6,19,1.914801e-04,1,43,0.3638,7.873540e-07,cuda,1747257642.160,2.586,0.6649,0.6584,0.6649
DynamicPull_GPUmicrobatch,c6468262,6,1,3.631725e-04,2,243,0.3764,5.599235e-06,cpu,1747257627.694,19.368,0.7397,0.7266,0.7397
DynamicPull_GPUmicrobatch,c6468262,6,18,3.720405e-05,2,51,0.5410,5.656859e-06,cpu,1747257641.920,4.968,0.4963,0.4934,0.4963
DynamicPull_GPUmicrobatch,c6468262,7,11,2.757865e-03,2,384,0.0072,1.129324e-05,cuda,1747257650.098,4.959,0.7794,0.7842,0.7794
DynamicPull_GPUmicrobatch,c6468262,7,3,2.577397e-03,2,334,0.0215,1.029052e-05,cuda,1747257655.067,2.799,0.7696,0.7840,0.7696
DynamicPull_GPUmicrobatch,c6468262,7,5,2.446621e-03,2,334,0.0215,1.029052e-05,cuda,1747257657.867,3.046,0.7757,0.7840,0.7757
DynamicPull_GPUmicrobatch,c6468262,7,6,2.757865e-03,2,334,0.1169,1.102386e-05,cuda,1747257659.380,3.523,0.7644,0.7762,0.7644
