hpo_approach_id,run_id,iteration,config_original_idx,lr,num_layers,hidden_size,dropout_rate,weight_decay,device_used,processing_start_time_abs,processing_duration_s,test_accuracy,fitness_score,train_accuracy
StaticSplit_GPUx3,7c7346df,7,8,8.584397e-03,2,80,0.0165,1.335511e-07,cpu,1747256443.307,1.828,0.7606,0.7606,N/A
StaticSplit_GPUx3,7c7346df,8,11,8.552007e-03,2,80,0.0000,1.210110e-07,cuda,1747256448.151,4.078,0.7605,0.7605,N/A
StaticSplit_GPUx3,7c7346df,8,14,7.987203e-04,2,57,0.1459,2.380753e-06,cuda,1747256451.054,2.659,0.7356,0.7356,N/A
StaticSplit_GPUx3,7c7346df,8,17,1.954750e-02,2,38,0.4222,1.280925e-05,cuda,1747256453.713,2.756,0.7185,0.7185,N/A
StaticSplit_GPUx3,7c7346df,8,10,8.584397e-03,2,80,0.0165,1.106633e-07,cpu,1747256448.129,11.040,0.7613,0.7613,N/A
StaticSplit_GPUx3,7c7346df,8,13,7.424237e-03,1,64,0.0165,1.409999e-07,cpu,1747256457.994,3.940,0.7585,0.7585,N/A
StaticSplit_GPUx3,7c7346df,8,16,3.097597e-02,2,172,0.1248,2.330180e-07,cpu,1747256461.934,8.564,0.7153,0.7153,N/A
StaticSplit_GPUx3,7c7346df,8,19,6.620521e-03,1,121,0.2074,7.898598e-06,cpu,1747256470.498,5.366,0.7553,0.7553,N/A
StaticSplit_GPUx3,7c7346df,8,9,8.471163e-04,2,56,0.1330,3.020201e-07,cpu,1747256448.067,12.252,0.7324,0.7324,N/A
StaticSplit_GPUx3,7c7346df,8,12,8.584397e-03,2,72,0.0165,1.420514e-07,cpu,1747256459.143,5.366,0.7649,0.7649,N/A
StaticSplit_GPUx3,7c7346df,8,15,8.584397e-03,2,80,0.0165,1.335511e-07,cpu,1747256464.509,7.509,0.7644,0.7644,N/A
StaticSplit_GPUx3,7c7346df,8,18,5.559990e-03,2,39,0.1892,1.818926e-07,cpu,1747256472.018,5.242,0.7446,0.7446,N/A
StaticSplit_GPUx3,7c7346df,8,0,8.868823e-04,1,241,0.0612,2.294539e-05,cpu,1747256448.050,11.377,0.7460,0.7460,N/A
StaticSplit_GPUx3,7c7346df,8,1,8.552007e-03,2,87,0.0000,1.210110e-07,cpu,1747256458.251,5.530,0.7601,0.7601,N/A
StaticSplit_GPUx3,7c7346df,8,2,1.377595e-02,1,46,0.1653,7.724364e-05,cpu,1747256463.781,7.156,0.7467,0.7467,N/A
StaticSplit_GPUx3,7c7346df,8,3,9.300284e-03,2,72,0.0165,1.466371e-07,cpu,1747256470.938,5.580,0.7595,0.7595,N/A
StaticSplit_GPUx3,7c7346df,8,4,8.584397e-03,2,96,0.0165,1.335511e-07,cpu,1747256476.518,2.292,0.7627,0.7627,N/A
StaticSplit_GPUx3,7c7346df,8,5,8.552007e-03,1,72,0.0165,1.466371e-07,cpu,1747256478.810,1.745,0.7483,0.7483,N/A
StaticSplit_GPUx3,7c7346df,8,6,1.285191e-04,1,127,0.4506,2.628905e-07,cpu,1747256480.556,1.787,0.6652,0.6652,N/A
StaticSplit_GPUx3,7c7346df,8,7,8.584397e-03,2,80,0.0165,1.765553e-07,cpu,1747256482.343,1.962,0.7502,0.7502,N/A
StaticSplit_GPUx3,7c7346df,8,8,7.965832e-03,3,157,0.4918,1.236331e-05,cpu,1747256483.130,2.696,0.7384,0.7384,N/A
StaticSplit_GPUx3,7c7346df,9,10,1.260651e-04,1,32,0.1916,6.030749e-05,cuda,1747256489.326,4.199,0.6383,0.6383,N/A
StaticSplit_GPUx3,7c7346df,9,13,8.641006e-03,2,80,0.0165,1.106633e-07,cuda,1747256493.525,2.852,0.7653,0.7653,N/A
StaticSplit_GPUx3,7c7346df,9,16,8.584397e-03,2,96,0.0165,1.474527e-07,cuda,1747256496.377,3.059,0.7637,0.7637,N/A
StaticSplit_GPUx3,7c7346df,9,19,1.066360e-03,3,170,0.3590,1.255572e-06,cuda,1747256499.437,3.107,0.7384,0.7384,N/A
StaticSplit_GPUx3,7c7346df,9,11,8.552007e-03,2,80,0.1175,1.210110e-07,cpu,1747256489.366,15.703,0.7636,0.7636,N/A
StaticSplit_GPUx3,7c7346df,9,14,2.332098e-02,3,155,0.0246,2.521028e-05,cpu,1747256505.068,5.688,0.7372,0.7372,N/A
StaticSplit_GPUx3,7c7346df,9,17,1.605489e-04,3,78,0.2060,2.160402e-05,cpu,1747256510.756,5.191,0.7105,0.7105,N/A
StaticSplit_GPUx3,7c7346df,9,9,8.584397e-03,2,80,0.0165,1.106633e-07,cpu,1747256489.298,16.078,0.7583,0.7583,N/A
StaticSplit_GPUx3,7c7346df,9,12,9.832953e-03,2,72,0.0165,1.420514e-07,cpu,1747256505.376,4.823,0.7612,0.7612,N/A
StaticSplit_GPUx3,7c7346df,9,15,1.471386e-02,3,222,0.2025,1.901680e-06,cpu,1747256510.199,6.929,0.7346,0.7346,N/A
StaticSplit_GPUx3,7c7346df,9,18,8.723052e-03,2,46,0.0261,1.744268e-07,cpu,1747256515.736,2.352,0.7659,0.7659,N/A
StaticSplit_GPUx3,7c7346df,9,0,1.507321e-04,3,77,0.0714,6.789221e-07,cpu,1747256489.265,16.652,0.7199,0.7199,N/A
StaticSplit_GPUx3,7c7346df,9,1,2.048497e-03,3,43,0.3923,1.072173e-06,cpu,1747256505.917,9.184,0.7255,0.7255,N/A
StaticSplit_GPUx3,7c7346df,9,2,1.009946e-04,3,150,0.3919,6.689896e-06,cpu,1747256513.709,4.401,0.7037,0.7037,N/A
StaticSplit_GPUx3,7c7346df,9,3,8.584397e-03,2,72,0.0165,1.420514e-07,cpu,1747256518.110,2.133,0.7616,0.7616,N/A
StaticSplit_GPUx3,7c7346df,9,4,1.053496e-02,2,96,0.0165,1.335511e-07,cpu,1747256520.243,2.199,0.7635,0.7635,N/A
StaticSplit_GPUx3,7c7346df,9,5,8.121184e-03,2,96,0.0165,1.335511e-07,cpu,1747256522.442,4.081,0.7629,0.7629,N/A
StaticSplit_GPUx3,7c7346df,9,6,4.776556e-03,2,114,0.0181,3.522974e-05,cpu,1747256526.523,2.228,0.7637,0.7637,N/A
